DATE,SPI6(t),PS(t),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1)
2001-11-30,0.685456538100059,98.34,26.69,80.56,1.75,0.49,195.12,0.8593841900157361
2001-12-31,0.4535530022124897,98.33,25.62,57.56,1.93,0.47,142.38,0.685456538100059
2002-01-31,-0.1648686425572214,98.49,24.03,36.44,2.41,0.45,5.27,0.4535530022124897
2002-02-28,-0.8799289763496129,98.31,26.58,26.69,3.3,0.45,0.0,-0.1648686425572214
2002-03-31,-1.3823988531755396,98.03,31.72,19.56,2.79,0.44,0.0,-0.8799289763496129
2002-04-30,-1.3823988531755396,97.82,34.42,14.19,2.16,0.44,0.0,-1.3823988531755396
2002-05-31,-1.1118325122371822,98.12,31.58,25.0,2.77,0.45,0.0,-1.3823988531755396
2002-06-30,-0.8412661712988251,98.35,30.01,36.88,2.62,0.44,5.27,-1.1118325122371822
2002-07-31,-0.1841817214783258,98.46,27.34,56.0,2.63,0.48,5.27,-0.8412661712988251
2002-08-31,0.55019169123517,98.45,26.26,59.56,1.91,0.53,73.83,-0.1841817214783258
2002-09-30,1.014035410218887,98.42,26.46,75.5,1.58,0.55,73.83,0.55019169123517
2002-10-31,1.0720112941907798,98.31,27.4,81.25,1.52,0.53,179.3,1.014035410218887
2002-11-30,0.8014449532524225,98.37,27.4,80.12,1.72,0.49,200.39,1.0720112941907798
2002-12-31,0.5308786123140652,98.52,24.9,64.31,1.84,0.47,131.84,0.8014449532524225
2003-01-31,-0.1262058375064337,98.47,24.96,39.19,2.57,0.45,21.09,0.5308786123140652
2003-02-28,-0.8605792502199294,98.19,29.61,27.38,2.31,0.45,0.0,-0.1262058375064337
2003-03-31,-1.285760164152859,98.14,30.26,21.06,2.35,0.45,0.0,-0.8605792502199294
2003-04-30,-1.266410438023176,98.03,32.78,18.94,2.73,0.44,0.0,-1.285760164152859
2003-05-31,-0.9958440970848186,98.16,31.8,20.19,2.73,0.44,0.0,-1.266410438023176
2003-06-30,-0.4353983362869997,98.33,27.69,45.19,2.65,0.47,15.82,-0.9958440970848186
2003-07-31,0.1057343455897148,98.44,26.69,51.56,1.97,0.5,26.37,-0.4353983362869997
2003-08-31,1.2073127882642478,98.42,25.95,74.25,1.73,0.57,73.83,0.1057343455897148
2003-09-30,1.5358550131744972,98.45,26.06,78.31,1.59,0.62,152.93,1.2073127882642478
2003-10-31,1.574481171016706,98.24,27.87,84.0,1.39,0.59,147.66,1.5358550131744972
2003-11-30,1.3039148300783492,98.25,27.19,81.94,1.55,0.53,300.59,1.574481171016706
2003-12-31,0.7434690692805305,98.41,24.37,71.25,1.86,0.49,105.47,1.3039148300783492
2004-01-31,0.2023363874038157,98.29,25.97,48.62,2.24,0.47,36.91,0.7434690692805305
2004-02-29,-0.8992420552707173,98.32,27.1,33.56,2.48,0.45,0.0,0.2023363874038157
2004-03-31,-1.285760164152859,98.16,29.48,25.62,2.74,0.45,0.0,-0.8992420552707173
2004-04-30,-1.3823622059669602,98.01,33.06,18.88,2.8,0.45,0.0,-1.285760164152859
2004-05-31,-0.976531018163714,98.22,30.08,19.81,2.95,0.45,0.0,-1.3823622059669602
2004-06-30,-0.5513501042307843,98.48,27.86,44.88,2.63,0.48,0.0,-0.976531018163714
2004-07-31,-0.0295671484837533,98.41,26.62,65.38,2.14,0.49,10.55,-0.5513501042307843
2004-08-31,0.4535896494210686,98.46,26.33,73.12,1.71,0.52,110.74,-0.0295671484837533
2004-09-30,1.0333484891399922,98.38,26.19,76.88,1.68,0.55,116.02,0.4535896494210686
2004-10-31,1.013998763010309,98.27,28.51,80.69,1.38,0.53,142.38,1.0333484891399922
2004-11-30,0.6081675752070625,98.24,27.76,82.06,1.61,0.49,131.84,1.013998763010309
2004-12-31,0.1829866612741326,98.25,26.16,63.25,1.96,0.47,158.2,0.6081675752070625
2005-01-31,-0.3387962944728984,98.4,24.13,44.06,2.13,0.46,5.27,0.1829866612741326
2005-02-28,-0.8219530923777204,98.06,30.57,24.31,2.98,0.45,0.0,-0.3387962944728984
2005-03-31,-1.4017119320966438,98.05,32.94,20.88,2.85,0.45,0.0,-0.8219530923777204
2005-04-30,-1.4210250110177478,97.98,33.96,21.62,2.23,0.44,0.0,-1.4017119320966438
2005-05-31,-1.247097359102071,98.16,31.23,28.69,2.7,0.44,0.0,-1.4210250110177478
2005-06-30,-0.7253144033550403,98.31,28.56,37.75,2.43,0.45,0.0,-1.247097359102071
2005-07-31,0.0863479722514524,98.46,26.7,55.81,2.22,0.49,0.0,-0.7253144033550403
2005-08-31,0.7240826959422682,98.39,26.18,70.56,1.8,0.55,47.46,0.0863479722514524
2005-09-30,1.2458656516892992,98.38,26.99,79.38,1.64,0.59,142.38,0.7240826959422682
2005-10-31,1.361817419633084,98.34,27.55,83.31,1.34,0.56,221.48,1.2458656516892992
2005-11-30,1.1878897677174067,98.26,26.84,79.81,1.61,0.51,174.02,1.361817419633084
2005-12-31,0.6661068119703757,98.21,26.07,66.5,1.84,0.48,142.38,1.1878897677174067
2006-01-31,-0.1455555636361168,98.14,27.85,37.62,2.33,0.46,31.64,0.6661068119703757
2006-02-28,-0.7832902873269326,98.07,30.12,27.38,2.28,0.45,0.0,-0.1455555636361168
2006-03-31,-1.3050732430739636,98.09,31.62,24.44,2.54,0.45,0.0,-0.7832902873269326
2006-04-30,-1.3823622059669602,97.96,32.39,19.0,2.07,0.44,0.0,-1.3050732430739636
2006-05-31,-1.189121475130179,98.2,30.87,18.0,2.32,0.45,0.0,-1.3823622059669602
2006-06-30,-0.976531018163714,98.3,29.65,27.81,2.68,0.45,0.0,-1.189121475130179
2006-07-31,-0.2228445265291137,98.4,27.98,58.0,2.5,0.47,10.55,-0.976531018163714
2006-08-31,0.7047696170211638,98.37,25.81,63.25,1.99,0.54,52.73,-0.2228445265291137
2006-09-30,1.4004802246838717,98.41,25.96,72.94,1.44,0.61,58.01,0.7047696170211638
2006-10-31,1.6130340344417575,98.27,27.44,85.06,1.43,0.61,205.66,1.4004802246838717
2006-11-30,1.4197933036049764,98.34,25.23,83.88,1.36,0.55,253.12,1.6130340344417575
2006-12-31,1.2072028466385114,98.5,22.42,74.75,2.02,0.51,189.84,1.4197933036049764
2007-01-31,0.4535163550039108,98.54,21.81,43.44,2.32,0.48,68.55,1.2072028466385114
2007-02-28,-0.4740977885463665,98.26,27.11,34.38,2.92,0.46,0.0,0.4535163550039108
2007-03-31,-1.1698083962090744,98.06,30.51,27.44,2.53,0.45,0.0,-0.4740977885463665
2007-04-30,-1.3437360481247516,97.97,32.29,18.75,2.62,0.45,0.0,-1.1698083962090744
2007-05-31,-1.015193823214502,98.14,30.5,20.12,2.84,0.45,0.0,-1.3437360481247516
2007-06-30,-0.5320370253096798,98.32,27.87,50.12,2.38,0.48,0.0,-1.015193823214502
2007-07-31,0.1250474245108192,98.38,26.99,64.06,2.46,0.48,21.09,-0.5320370253096798
2007-08-31,1.3039148300783496,98.33,25.5,73.94,2.06,0.59,89.65,0.1250474245108192
2007-09-30,1.671119860039387,98.41,26.34,76.56,1.66,0.66,131.84,1.3039148300783496
2007-10-31,1.6131439760674946,98.27,27.12,85.38,1.34,0.61,179.3,1.671119860039387
2007-11-30,1.2846017511572452,98.22,26.63,82.31,1.39,0.55,321.68,1.6131439760674946
2007-12-31,0.8014449532524229,98.34,24.49,73.69,1.59,0.51,100.2,1.2846017511572452
2008-01-31,0.144360503431924,98.44,22.13,51.62,2.07,0.48,5.27,0.8014449532524229
2008-02-29,-1.0345069021356064,98.39,25.36,37.5,3.1,0.46,0.0,0.144360503431924
2008-03-31,-1.4017119320966438,97.99,30.89,26.75,3.13,0.45,0.0,-1.0345069021356064
2008-04-30,-1.3823622059669602,97.93,32.17,19.38,2.34,0.45,0.0,-1.4017119320966438
2008-05-31,-1.3050732430739636,98.07,32.14,23.19,2.31,0.45,0.0,-1.3823622059669602
2008-06-30,-0.8992420552707173,98.25,30.05,32.5,2.59,0.45,0.0,-1.3050732430739636
2008-07-31,-0.4740611413377876,98.41,26.83,49.19,2.4,0.48,10.55,-0.8992420552707173
2008-08-31,0.3955771182405974,98.3,25.99,60.88,2.02,0.5,21.09,-0.4740611413377876
2008-09-30,1.052661568061097,98.38,26.05,76.12,1.63,0.59,110.74,0.3955771182405974
2008-10-31,1.1492636098751978,98.33,26.94,81.38,1.32,0.58,116.02,1.052661568061097
2008-11-30,1.071974646982201,98.28,26.44,83.5,1.48,0.52,237.3,1.1492636098751978
2008-12-31,0.6661434591789546,98.27,25.67,69.81,1.86,0.49,179.3,1.071974646982201
2009-01-31,0.2409625452460249,98.29,26.43,41.38,2.27,0.47,36.91,0.6661434591789546
2009-02-28,-0.62867571433236,98.09,29.3,34.44,2.26,0.45,0.0,0.2409625452460249
2009-03-31,-1.285760164152859,97.98,31.54,25.88,2.29,0.45,0.0,-0.62867571433236
2009-04-30,-1.4210250110177478,98.03,32.85,25.5,2.48,0.45,0.0,-1.285760164152859
2009-05-31,-1.363049127045856,98.11,31.78,23.88,2.85,0.44,0.0,-1.4210250110177478
2009-06-30,-0.8798923291410339,98.33,29.42,44.06,2.63,0.45,0.0,-1.363049127045856
2009-07-31,-0.2614706843713227,98.41,27.05,53.06,2.41,0.48,0.0,-0.8798923291410339
2009-08-31,0.6468303802578502,98.38,25.98,65.0,2.01,0.55,15.82,-0.2614706843713227
2009-09-30,1.1686133360048812,98.45,26.19,77.62,1.38,0.62,131.84,0.6468303802578502
2009-10-31,1.4198299508135548,98.27,27.06,84.19,1.28,0.59,168.75,1.1686133360048812
2009-11-30,1.3618540668416623,98.32,25.63,84.19,1.62,0.55,247.85,1.4198299508135548
2009-12-31,0.8786972689368405,98.39,24.66,77.94,1.88,0.51,142.38,1.3618540668416623
2010-01-31,0.2602756241671295,98.37,25.03,55.06,2.16,0.48,68.55,0.8786972689368405
2010-02-28,-0.6480254404620435,98.17,29.75,37.12,2.34,0.46,0.0,0.2602756241671295
2010-03-31,-1.1698083962090744,98.18,30.92,24.75,2.21,0.45,0.0,-0.6480254404620435
2010-04-30,-1.4017119320966438,98.02,32.9,24.19,2.8,0.45,0.0,-1.1698083962090744
2010-05-31,-1.0538566282652897,98.15,30.24,25.06,2.6,0.46,0.0,-1.4017119320966438
2010-06-30,-0.5127239463885754,98.39,28.3,43.0,2.6,0.48,0.0,-1.0538566282652897
2010-07-31,0.0284087354881389,98.38,26.58,66.94,2.21,0.49,5.27,-0.5127239463885754
2010-08-31,1.014035410218887,98.37,25.85,73.75,2.15,0.55,94.92,0.0284087354881389
2010-09-30,1.7097460178815955,98.34,25.73,79.25,1.59,0.64,147.66,1.014035410218887
2010-10-31,2.0962641267637374,98.27,26.56,85.25,1.36,0.65,147.66,1.7097460178815955
2010-11-30,1.7484088229323835,98.19,26.79,84.62,1.54,0.6,268.95,2.0962641267637374
2010-12-31,1.207276141055669,98.26,23.58,81.38,1.42,0.54,189.84,1.7484088229323835
2011-01-31,0.6661434591789546,98.27,23.05,59.62,2.01,0.51,110.74,1.207276141055669
2011-02-28,-0.319483215551794,98.11,29.05,41.0,2.59,0.48,0.0,0.6661434591789546
2011-03-31,-1.015193823214502,98.01,31.3,34.69,2.34,0.46,0.0,-0.319483215551794
2011-04-30,-1.4210250110177478,97.97,32.15,36.31,2.22,0.45,0.0,-1.015193823214502
2011-05-31,-1.2277842801809666,98.14,30.34,36.56,2.53,0.45,0.0,-1.4210250110177478
2011-06-30,-1.0538566282652897,98.31,29.09,38.25,2.58,0.45,0.0,-1.2277842801809666
2011-07-31,-0.4354349834955786,98.35,27.44,62.81,2.37,0.47,0.0,-1.0538566282652897
2011-08-31,0.3955771182405974,98.39,25.98,66.5,1.91,0.52,52.73,-0.4354349834955786
2011-09-30,0.8980469950665243,98.42,26.65,74.5,1.64,0.55,47.46,0.3955771182405974
2011-10-31,1.052661568061097,98.19,27.94,82.0,1.48,0.53,168.75,0.8980469950665243
2011-11-30,0.8594208372243151,98.27,26.96,78.75,1.59,0.49,226.76,1.052661568061097
2011-12-31,0.6854931853086383,98.44,23.62,67.38,1.87,0.47,137.11,0.8594208372243151
2012-01-31,0.0670715405389269,98.39,24.98,34.94,2.48,0.45,42.19,0.6854931853086383
2012-02-29,-0.7446274822761446,98.09,29.03,25.06,2.66,0.45,0.0,0.0670715405389269
2012-03-31,-1.247097359102071,98.16,30.26,22.5,2.44,0.44,0.0,-0.7446274822761446
2012-04-30,-1.363049127045856,98.01,32.33,23.19,2.82,0.44,0.0,-1.247097359102071
2012-05-31,-1.015193823214502,98.24,29.34,18.94,3.05,0.45,5.27,-1.363049127045856
2012-06-30,-0.5127239463885753,98.39,28.05,46.19,2.64,0.47,0.0,-1.015193823214502
2012-07-31,0.2023363874038161,98.39,26.23,66.19,2.06,0.52,10.55,-0.5127239463885753
2012-08-31,1.187963062134565,98.45,25.6,71.25,1.62,0.58,94.92,0.2023363874038161
2012-09-30,1.6904329389604915,98.46,25.83,80.94,1.56,0.65,137.11,1.187963062134565
2012-10-31,1.7484088229323835,98.29,27.3,84.12,1.48,0.62,195.12,1.6904329389604915
2012-11-30,1.4005535191010297,98.26,27.43,84.12,1.38,0.55,274.22,1.7484088229323835
2012-12-31,0.8980836422751032,98.36,24.22,75.81,1.66,0.51,137.11,1.4005535191010297
2013-01-31,0.1830233084827117,98.41,25.6,55.12,2.27,0.48,26.37,0.8980836422751032
2013-02-28,-0.8219164451691414,98.18,28.44,41.56,2.38,0.46,0.0,0.1830233084827117
2013-03-31,-1.324386321995068,98.03,33.16,31.5,2.36,0.45,0.0,-0.8219164451691414
2013-04-30,-1.363049127045856,98.11,32.01,27.75,2.41,0.45,0.0,-1.324386321995068
2013-05-31,-1.2084345540512833,98.22,31.19,40.69,2.63,0.45,0.0,-1.363049127045856
2013-06-30,-0.7639405611972492,98.33,28.76,52.25,2.57,0.45,0.0,-1.2084345540512833
2013-07-31,-0.3581093733940029,98.45,26.64,57.75,2.34,0.49,15.82,-0.7639405611972492
2013-08-31,0.3376012342687051,98.38,25.82,69.19,1.72,0.52,42.19,-0.3581093733940029
2013-09-30,0.685456538100059,98.41,26.65,77.81,1.52,0.54,121.29,0.3376012342687051
2013-10-31,0.7241193431508467,98.34,28.18,82.19,1.27,0.52,110.74,0.685456538100059
2013-11-30,0.5695047701562743,98.17,28.57,79.38,1.59,0.48,189.84,0.7241193431508467
2013-12-31,0.1250107773022403,98.37,26.27,57.44,1.88,0.46,94.92,0.5695047701562743
2014-01-31,-0.2808204105010061,98.33,26.55,33.38,2.55,0.45,26.37,0.1250107773022403
2014-02-28,-0.976531018163714,98.22,28.46,24.69,2.57,0.45,0.0,-0.2808204105010061
2014-03-31,-1.324386321995068,98.08,31.65,21.75,3.14,0.44,0.0,-0.976531018163714
2014-04-30,-1.2277842801809666,98.08,32.69,15.88,2.31,0.44,0.0,-1.324386321995068
2014-05-31,-1.015193823214502,98.16,31.03,25.12,2.56,0.45,0.0,-1.2277842801809666
2014-06-30,-0.7253144033550404,98.31,30.23,47.19,2.37,0.45,0.0,-1.015193823214502
2014-07-31,-0.3967721784447907,98.48,28.76,58.0,2.3,0.45,52.73,-0.7253144033550404
2014-08-31,0.3955771182405974,98.43,26.22,61.75,2.03,0.49,58.01,-0.3967721784447907
2014-09-30,1.1106374520329891,98.44,25.9,66.69,1.66,0.55,79.1,0.3955771182405974
2014-10-31,0.994685684089204,98.34,28.08,81.12,1.43,0.55,89.65,1.1106374520329891
2014-11-30,0.7820952271227393,98.3,28.06,82.69,1.66,0.5,216.21,0.994685684089204
2014-12-31,0.4922158072632774,98.45,25.41,66.31,1.85,0.48,195.12,0.7820952271227393
2015-01-31,0.163673582353028,98.58,23.5,43.5,2.31,0.46,21.09,0.4922158072632774
2015-02-28,-0.62867571433236,98.22,29.26,26.75,2.9,0.45,0.0,0.163673582353028
2015-03-31,-1.3244229692036469,98.14,30.93,20.19,2.45,0.45,0.0,-0.62867571433236
2015-04-30,-1.4017119320966438,98.19,32.13,22.44,2.52,0.44,0.0,-1.3244229692036469
2015-05-31,-1.285760164152859,98.18,32.49,25.44,2.43,0.44,0.0,-1.4017119320966438
2015-06-30,-1.2084712012598624,98.35,31.38,24.44,2.86,0.43,5.27,-1.285760164152859
2015-07-31,-0.802640013456616,98.41,28.62,48.94,2.89,0.45,0.0,-1.2084712012598624
2015-08-31,0.0476851672006644,98.42,26.01,54.19,2.05,0.51,31.64,-0.802640013456616
2015-09-30,0.9559862318298374,98.41,26.6,68.0,1.45,0.62,21.09,0.0476851672006644
2015-10-31,1.1106008048244105,98.35,28.24,84.88,1.28,0.61,110.74,0.9559862318298374
2015-11-30,0.9946490368806252,98.4,26.1,83.12,1.32,0.55,232.03,1.1106008048244105
2015-12-31,0.9173600739876286,98.75,21.06,72.56,1.95,0.51,253.12,0.9946490368806252
2016-01-31,0.5115288861843823,98.61,22.9,47.25,3.08,0.48,42.19,0.9173600739876286
2016-02-29,-0.3387962944728984,98.37,26.59,36.25,3.15,0.46,0.0,0.5115288861843823
2016-03-31,-1.247097359102071,98.15,32.8,24.81,2.7,0.45,0.0,-0.3387962944728984
2016-04-30,-1.3244229692036469,98.05,33.7,19.12,2.09,0.45,0.0,-1.247097359102071
2016-05-31,-1.2277842801809666,98.25,32.56,28.38,2.71,0.45,0.0,-1.3244229692036469
2016-06-30,-1.0345435493441857,98.43,30.04,46.94,3.05,0.45,5.27,-1.2277842801809666
2016-07-31,-0.4934108674674709,98.42,27.29,52.88,2.45,0.47,21.09,-1.0345435493441857
2016-08-31,0.163673582353028,98.43,26.58,61.12,1.84,0.52,26.37,-0.4934108674674709
2016-09-30,0.7048062642297427,98.45,26.5,76.0,1.49,0.56,52.73,0.163673582353028
2016-10-31,0.6468303802578502,98.26,28.89,80.06,1.26,0.53,147.66,0.7048062642297427
2016-11-30,0.55019169123517,98.27,28.48,81.12,1.68,0.49,179.3,0.6468303802578502
2016-12-31,0.3569509603983886,98.34,27.1,59.88,1.9,0.47,152.93,0.55019169123517
2017-01-31,-0.1841817214783258,98.34,26.9,41.5,2.38,0.45,5.27,0.3569509603983886
2017-02-28,-0.841266171298825,98.32,27.66,30.88,2.54,0.45,0.0,-0.1841817214783258
2017-03-31,-1.4017119320966438,98.08,31.4,21.62,3.2,0.44,0.0,-0.841266171298825
2017-04-30,-1.3243863219950682,98.03,33.37,13.81,2.39,0.44,0.0,-1.4017119320966438
2017-05-31,-1.150458670079391,98.2,31.33,16.81,2.66,0.44,0.0,-1.3243863219950682
2017-06-30,-0.6673018721745692,98.34,28.63,38.19,2.92,0.46,0.0,-1.150458670079391
2017-07-31,-0.0875430324556456,98.49,26.89,57.94,2.1,0.5,26.37,-0.6673018721745692
2017-08-31,0.8787339161454194,98.4,26.06,71.25,1.73,0.55,47.46,-0.0875430324556456
2017-09-30,1.2652520250275614,98.41,26.47,78.5,1.62,0.61,131.84,0.8787339161454194
2017-10-31,1.342540987920558,98.35,26.73,83.38,1.36,0.59,158.2,1.2652520250275614
2017-11-30,1.1686133360048807,98.32,26.36,82.5,1.47,0.53,263.67,1.342540987920558
2017-12-31,0.6854565381000586,98.39,25.08,64.81,1.77,0.49,105.47,1.1686133360048807
2018-01-31,0.1056976983811357,98.47,22.8,45.0,2.23,0.48,47.46,0.6854565381000586
2018-02-28,-0.8605792502199295,98.12,28.87,37.56,2.7,0.46,0.0,0.1056976983811357
2018-03-31,-1.2084345540512835,98.09,31.94,24.94,2.38,0.45,0.0,-0.8605792502199295
2018-04-30,-1.3823622059669605,98.01,33.82,28.0,2.45,0.45,0.0,-1.2084345540512835
2018-05-31,-1.2084345540512835,98.16,31.57,32.44,2.66,0.44,0.0,-1.3823622059669605
2018-06-30,-0.744627482276145,98.38,28.23,39.94,3.06,0.46,10.55,-1.2084345540512835
2018-07-31,-0.0875430324556458,98.47,26.51,56.44,2.38,0.51,0.0,-0.744627482276145
2018-08-31,0.8207580321735269,98.45,25.73,72.88,1.71,0.57,47.46,-0.0875430324556458
2018-09-30,1.30387818286977,98.33,26.16,80.44,1.68,0.63,126.56,0.8207580321735269
2018-10-31,1.516468639836235,98.32,26.88,84.5,1.3,0.63,179.3,1.30387818286977
2018-11-30,1.342540987920558,98.3,26.06,84.06,1.36,0.57,247.85,1.516468639836235
2018-12-31,0.8787339161454191,98.52,23.44,77.0,1.71,0.52,142.38,1.342540987920558
2019-01-31,0.2216494663249203,98.44,25.1,52.69,2.46,0.49,58.01,0.8787339161454191
2019-02-28,-0.6866515983042526,98.34,27.25,39.81,2.23,0.47,0.0,0.2216494663249203
2019-03-31,-1.2084345540512835,98.18,31.66,27.38,2.48,0.45,0.0,-0.6866515983042526
2019-04-30,-1.3437360481247518,98.05,33.21,22.19,2.22,0.45,0.0,-1.2084345540512835
2019-05-31,-1.0731697071863944,98.18,29.87,27.44,2.48,0.45,0.0,-1.3437360481247518
2019-06-30,-0.6866515983042526,98.4,28.96,41.56,2.68,0.47,0.0,-1.0731697071863944
2019-07-31,-0.1648686425572216,98.41,27.08,64.94,2.42,0.48,21.09,-0.6866515983042526
2019-08-31,0.6081675752070621,98.48,26.02,69.69,1.79,0.52,73.83,-0.1648686425572216
2019-09-30,1.1299505309540931,98.41,26.57,77.56,1.76,0.59,105.47,0.6081675752070621
2019-10-31,1.2265892199767734,98.27,26.51,82.44,1.28,0.58,142.38,1.1299505309540931
2019-11-30,0.9560228790384164,98.24,27.72,83.0,1.39,0.54,210.94,1.2265892199767734
2019-12-31,0.5695047701562743,98.43,23.48,81.19,1.65,0.5,142.38,0.9560228790384164
2020-01-31,0.0477218144092431,98.53,23.69,51.0,2.46,0.48,47.46,0.5695047701562743
2020-02-29,-0.7253144033550405,98.43,25.97,36.5,2.94,0.46,0.0,0.0477218144092431
2020-03-31,-0.9572179392426098,98.12,31.18,31.25,3.16,0.46,0.0,-0.7253144033550405
2020-04-30,-1.0731697071863944,98.16,32.05,20.56,2.25,0.45,0.0,-0.9572179392426098
2020-05-31,-0.918555134191822,98.26,32.06,38.12,3.03,0.45,0.0,-1.0731697071863944
2020-06-30,-0.744627482276145,98.36,29.26,50.62,3.03,0.45,79.1,-0.918555134191822
2020-07-31,-0.2034948003994306,98.32,27.12,54.19,2.53,0.48,15.82,-0.744627482276145
2020-08-31,0.6275173013367454,98.34,25.91,67.25,1.95,0.53,42.19,-0.2034948003994306
2020-09-30,0.994722331297783,98.36,26.03,76.0,2.13,0.59,47.46,0.6275173013367454
2020-10-31,1.1879630621345645,98.38,26.4,83.38,1.56,0.59,147.66,0.994722331297783
2020-11-30,1.0333484891399918,98.41,25.9,83.69,1.55,0.53,226.76,1.1879630621345645
2020-12-31,0.8594208372243146,98.36,25.93,72.88,2.28,0.5,179.3,1.0333484891399918
2021-01-31,0.3182881553476003,98.35,25.21,54.56,2.17,0.48,68.55,0.8594208372243146
2021-02-28,-0.5127239463885755,98.33,26.51,43.25,2.75,0.46,0.0,0.3182881553476003
2021-03-31,-1.1504953172879702,98.08,30.95,31.31,2.95,0.45,0.0,-0.5127239463885755
2021-04-30,-1.3826553836355924,98.02,33.04,22.12,2.82,0.45,0.0,-1.1504953172879702
2021-05-31,-1.309690791354911,98.13,33.58,33.06,2.91,0.44,0.0,-1.3826553836355924
2021-06-30,-0.9655368555900304,98.34,29.37,37.25,2.98,0.45,5.27,-1.309690791354911
2021-07-31,-0.3813437036330547,98.45,27.6,46.94,2.59,0.46,5.2,-0.9655368555900304
2021-08-31,0.5918962145980099,98.43,25.87,65.31,2.3,0.54,19.91,-0.3813437036330547
2021-09-30,1.197747866825143,98.41,26.28,73.56,1.56,0.61,93.91,0.5918962145980099
2021-10-31,1.2836489237341917,98.29,27.87,84.56,1.36,0.59,159.41,1.197747866825143
2021-11-30,1.211343981207932,98.26,27.64,82.69,1.38,0.53,265.57,1.2836489237341917
2021-12-31,0.8671900454430516,98.41,24.12,69.75,1.76,0.49,170.59,1.211343981207932
